wavelength      radiance
15.40832       2.25054E+00
15.38461       2.17078E+00
15.36098       2.06669E+00
15.33742       2.06514E+00
15.31394       2.04462E+00
15.29052       2.05248E+00
15.26718       2.08409E+00
15.24390       2.06581E+00
15.22070       2.07641E+00
15.19757       2.09235E+00
15.17451       2.06130E+00
15.15152       2.06577E+00
15.12859       2.09465E+00
15.10574       2.17196E+00
15.08296       2.25673E+00
15.06024       2.22633E+00
15.03759       2.17382E+00
15.01501       2.25257E+00
14.99250       2.62103E+00
14.97006       2.98292E+00
14.94768       2.85540E+00
14.92537       2.48759E+00
14.90313       2.24104E+00
14.88095       2.15568E+00
14.85884       2.16789E+00
14.83679       2.14522E+00
14.81481       2.14277E+00
14.79290       2.16905E+00
14.77105       2.14070E+00
14.74926       2.15710E+00
14.72754       2.17283E+00
14.70588       2.14371E+00
14.68429       2.15345E+00
14.66276       2.12693E+00
14.64129       2.10738E+00
14.61988       2.12281E+00
14.59854       2.08122E+00
14.57726       2.06693E+00
14.55604       2.05968E+00
14.53488       2.04436E+00
14.51379       2.07634E+00
14.49275       2.05080E+00
14.47178       2.01896E+00
14.45087       2.02578E+00
14.43001       1.99795E+00
14.40922       1.98722E+00
14.38849       1.99073E+00
14.36782       1.99170E+00
14.34720       2.00319E+00
14.32665       2.01179E+00
14.30615       2.02479E+00
14.28571       2.03959E+00
14.26534       2.05997E+00
14.24501       2.08909E+00
14.22475       2.14766E+00
14.20455       2.21287E+00
14.18440       2.26811E+00
14.16431       2.33706E+00
14.14427       2.39221E+00
14.12429       2.43981E+00
14.10437       2.49255E+00
14.08451       2.56257E+00
14.06470       2.64260E+00
14.04494       2.71426E+00
14.02525       2.81678E+00
14.00560       2.89334E+00
13.98601       2.97091E+00
13.96648       3.04456E+00
13.94700       2.96098E+00
13.92758       2.69676E+00
13.90821       2.37547E+00
13.88889       2.26159E+00
13.86963       2.48815E+00
13.85042       2.98462E+00
13.83126       3.40278E+00
13.81215       3.54801E+00
13.79310       3.65457E+00
13.77411       3.63750E+00
13.75516       3.51334E+00
13.73626       3.47660E+00
13.71742       3.34038E+00
13.69863       3.22586E+00
13.67989       3.31371E+00
13.66120       3.37265E+00
13.64256       3.42327E+00
13.62398       3.50952E+00
13.60544       3.47945E+00
13.58696       3.48121E+00
13.56852       3.54799E+00
13.55014       3.53784E+00
13.53180       3.54550E+00
13.51351       3.38854E+00
13.49528       3.08129E+00
13.47709       3.28130E+00
13.45895       3.76175E+00
13.44086       3.86846E+00
13.42282       3.98655E+00
13.40483       4.22246E+00
13.38688       4.25657E+00
13.36898       4.32716E+00
13.35114       4.43234E+00
13.33333       4.42665E+00
13.31558       4.50061E+00
13.29787       4.57839E+00
13.28021       4.52855E+00
13.26260       4.54402E+00
13.24503       4.67042E+00
13.22751       4.77327E+00
13.21004       4.91226E+00
13.19261       5.06940E+00
13.17523       5.14373E+00
13.15790       5.22071E+00
13.14060       5.29038E+00
13.12336       5.32300E+00
13.10616       5.39172E+00
13.08901       5.44409E+00
13.07190       5.46121E+00
13.05483       5.50285E+00
13.03781       5.52996E+00
13.02083       5.48734E+00
13.00390       5.42440E+00
12.98701       5.45484E+00
12.97017       5.57229E+00
12.95337       5.67266E+00
12.93661       5.71194E+00
12.91990       5.67389E+00
12.90323       5.57328E+00
12.88660       5.44693E+00
12.87001       5.44522E+00
12.85347       5.58306E+00
12.83697       5.65105E+00
12.82051       5.71987E+00
12.80410       5.81858E+00
12.78772       5.83400E+00
12.77139       5.70691E+00
